testId,1,2,3,timeSpent,uid,ineligible
83058,1,,850,64,462db9d5e0d86f6f33dc,0
83394,1,,300,25,dd82329f80d2f12f84c7,0
83426,1,,100,35,638473b403a6d0b701de,0
83897,1,,400,32,55f6bc53bdd9d9b8aa64,0
83972,,1,1234,16,697cd11080aad6a3e083,0
83988,1,,100,12,4002e5cae4d76ac33398,0
84075,1,,100,33,6390e8dcc05037743a81,0
84105,,2,375,12,daeb8a598a6537688002,1
84117,1,,150,12,d1550c8fe4222cdf35db,0
84182,,1,1001,55,00dc2d5b0c1271090876,0
84207,1,,200,25,9767a018916452b620ea,0
84267,,1,1050,29,9d1af9688dd3ffbd2a91,0
84271,1,,105,10,e06a11d3f0afb9a53e3b,0
84312,1,,1000,8,9d1af9688dd3ffbd2a91,1
84315,1,,200,15,14c6d8fed9e84dc0ef6f,0
84689,,2,150,11,6e84d6fa0af9a10c803a,0
84695,1,,380,25,19788631496e9405abee,0
84737,,2,400,56,f3867321a6695be67713,0
84811,1,,350,33,11ff4b03931eca91e01c,0
84856,,1,3000,47,9f32c27563945a0f58e4,0
84858,,1,1100,18,273f325f22f61f48305e,0
84974,2,,70,18,b66b76fccda689d080df,0
85013,,1,1100,12,273f325f22f61f48305e,1
85051,,2,750,39,bdf34e306ac05225f941,0
85056,2,,75,14,4a1d5cefe12d9dceddc1,0
85082,1,,86,21,1f71f5e066e555bc970e,0
85085,,2,60,12,b66b76fccda689d080df,1
85161,1,,100,18,5eef0eb8fdabbb9158b7,0
85203,,1,1001,34,b2df519881c63a2d2a72,0
85228,,2,60,61,2490182bc28f6ca0a76a,0
85275,,1,1738,40,625ef2c9227c0bfa9e19,0
85319,1,,120,30,225b0f607dd850053294,0
85324,1,,1000,11,625ef2c9227c0bfa9e19,1
85419,,2,300,35,af95a6f1fdb1d5ea2e47,1
85646,,2,300,28,66ba858f5b70d7a073e0,0
85648,1,,300,35,66ba858f5b70d7a073e0,1
85793,,2,200,15,330c38a8371db1efedf1,0
85975,1,,95,48,8d980d121408935f5e8e,0
86044,,2,400,28,8871d24b830ae11e6f06,0
86084,1,,150,25,65e110621a9c9aa3d353,0
86167,1,,,10,94f640462c5aaf57c5a6,1
86199,1,,200,14,5f185033a5812733a278,0
86366,1,,110,17,c5404febd4bc7e29fc92,0
86367,1,,160,24,fc26a39e59508ad25bc2,0
86391,,2,400,59,477dcd962fa2b218d3fb,0
86530,1,,150,39,60a7b30b23a64f25769f,0
86536,1,,120,12,43d6e63190de87b442d5,0
86632,1,,120,16,6d4dcec5d6c8c2e86a1e,0
86766,,2,300,32,c53e31707e98625cf105,0
86810,,1,1001,14,504d26dea6cfcc759653,0
86854,1,,300,10,bdcf485de4f3797532b4,0
86938,1,,90,27,7027e1e407686fa7e6ab,0
87176,1,,90,17,e3342a7dc00a46dce9dd,0
87294,1,,290,12,bbe8658e15a25ad39830,0
87339,1,,200,15,8a56d06e7e7bd0005b9c,0
87389,1,,200,8,bcfcdd061d9c59181fab,0
87540,1,,300,29,037c0e55cd69e9f67cf4,0
87786,,2,,10,127a2f8bfa5f443d73ef,1
87796,,1,200,9,e24d4d97d1d159f71aff,1
87808,,2,500,39,ad574eaa3fc5d3caa9a2,0
88014,,1,2000,15,e3f59e38fc4c0e45a7ed,0
88018,1,,150,16,b18dfd86956b4ed925e8,0
88193,,2,999,19,991bc0da362e0d7e5bfa,0
88201,,1,2000,10,2866635bae5f52ac69ee,0
88236,,2,400,30,62e00bede96cd71f1afd,0
88267,1,,300,14,7846aca7245c1cb1b891,0
88283,,1,1500,34,ea7f949a6b3ac9676e7e,0
88324,,1,1800,30,5f6a17ad4a50647dee44,0
88342,1,,700,27,c0164d1f255d2d42fb6c,0
88388,,2,800,12,babe4bfcd7f162b4262c,0
88464,2,,72,22,8e3d50fb71a2249f361d,0
88510,1,,112,16,91f4795c84001507c96d,0
88536,1,,85.1,12,255e35cc514299dd3211,1
88573,1,,200,12,f49e786c2a7651bb90bc,0
88619,,1,1700,17,80508c33173184d00f2b,0
88644,,2,900,25,8e3d50fb71a2249f361d,1
88675,1,,150,28,227503c6a70626eb5c8c,0
88868,1,,120,26,82b8ab009b9c36c588c7,0
88932,1,,160,78,8aaee28c4968ec09d98d,0
88965,,2,600,55,2a289b54e6b2398df4e4,0
89127,1,,250,16,5c387d2992f60f1d180a,0
89193,,2,800,47,6a02739ee1ad61437c4e,0
89241,,2,700,62,b3737721710f2a55ef56,0
89433,,2,150,13,e034633e1dbcc7d4102c,0
89512,,1,2000,10,ebb29965aad80a5bdc2b,0
89516,,1,2000,24,518cce37a2cf1ee9d629,0
89540,1,,110,21,f1c49e7f054189e99e77,0
89542,1,,90,18,518cce37a2cf1ee9d629,1
89700,1,,326,22,cb14bb1f3b0f262a9ba5,0
89885,,2,500,27,9c29358d2348d2fd8d10,0
89956,1,,90,17,1a575954af377cbdce78,0
90242,1,,,10,570308a2bdd9421c3afb,1
90297,,1,1001,43,d6a4521a3ad80a5e03dd,0
90361,,2,500,9,22b6a8f4b8480bf535fd,1
90409,,1,2000,17,eb794c3c253277196d55,0
90444,1,,100,36,facdc78b7c8defc9cfed,0
90490,,1,1200,14,1a575954af377cbdce78,1
76418,,,,3,9bae83ec357d2b8a4f5c,1
76450,,,,5,a1c06b380c863fbe996a,1
90665,1,,200,14,77756ea4186dd08f4d9c,0
90678,1,,400,12,a4449af1f98f0b4e0b74,0
90688,,2,752,24,70725b9de99117c87316,0
90714,1,,100,14,dbb80f895699863fd37d,0
90727,,2,250,13,e034633e1dbcc7d4102c,1
90733,,2,,13,880410e5e5472a37795a,1
90800,1,,200,13,b65fbd1d4f7a69cc20be,0
90864,,2,200,18,0d5fd29bf27f40459dc8,0
90886,,2,300,56,34d30988e565a32f49ea,0
91083,1,,120,10,39d98864ced2c5bf87c6,0
91159,,1,1450,11,118d41dfc68b1cc209ee,0
91179,1,,87,13,3fc65081536cb18fc932,0
91226,1,,400,20,a27fe7c72ab8ca271a1a,0
91336,,1,1400,34,104f229b81b345389cb5,0
91333,1,,900,45,10fdbd7277dc95d14cbf,0
91363,1,,90,29,05b38fe1427b350bc758,0
91378,,2,350,20,bad7ab195649abb00040,0
91386,,2,800,15,6bc77ca4018975e9ec09,0
76811,1,,100,13,3ec534acfcd92bc6c12e,0
91519,1,,500,44,d815361c5f7ac1cd8ecd,0
91563,1,,125,15,30d1b7320a2c7cd7e140,0
91634,1,,300,53,42f3018ddffcf4f12f93,0
91658,1,,250,25,39e05bd17adcbc6c38ba,0
91991,,2,999,16,41cc486133beebb0e3b7,0
92045,1,,100,13,3bdd3bd92e778a1d7359,0
92206,,2,800,21,b2966addb1910400da1c,0
92234,,2,800,46,a61c8c7efbbf31ec28f7,0
92283,,,380,21,fafc7fce16d7eadf1f35,1
92432,1,,700,14,eb8161a2ee33ebdfddac,0
80138,,,,10,955814bc3b50bebc57b9,1
80619,,,,10,e61b901f67fb5ad3720f,1
92516,,2,350,19,309c40c333d18730d4be,0
92537,1,,300,30,a2b48697fe822aafb39a,0
92574,,1,1500,21,534dbea4c8c2e5346150,0
92582,,1,500,10,a06ae2c9001bad16f8ae,1
92594,,2,300,18,64a8df9c0933b6f66315,0
83010,,,,1,0ae59414803d83c6fb1f,1
92628,1,,100,16,fb7a9271948e118df91e,0
92898,,1,110,16,b002a1d60b034b68e824,1
92906,,2,100,34,77bb67e9401f2d998930,0
85777,,,,6,35e70a98504cd9711caf,1
85121,,,,44347,927c1877af44b0218ac3,1
85859,,,,19,5ee8a7b3467b0bab5eef,1
86885,,,,34,c2d4df7d879b3445aca5,1
93164,,2,300,12,7c6f7226a36118c1386f,0
87296,,2,,85,a4bbf04397ebeda101b1,1
93328,,2,437,20,7819c62745aaa836fd01,0
88393,,,,2,babe4bfcd7f162b4262c,1
88776,,,,2,38e1e7d8d7176e026298,1
93485,,1,1530,48,1a7e8d4f0eef8153441d,0
90408,,,,2,50b2b2382bc59e25fa7e,1
93765,2,,,38,c1728d3f202a432c6622,1
94143,,2,300,87,c1ac0ed215b6fa467e5d,0
92880,,,,10,7bcdf83a6a099d838217,1
94273,,2,500,28,828373f6aa756eade306,0
93228,,,,11,ccb39571b470ba151f89,1
94587,1,,100,13,238d8f63c5ee484e098e,0
94616,,1,2000,35,0275a1095be0205214cb,0
94764,,2,800,53,49b7be982327bc38e80c,0
94873,,2,300,33,c8a3b77d04b65a09a3cb,0
95022,1,,200,34,428cb0c0dadd4a0b157b,0
95163,1,,300,33,ad6b10507d6574d54d0f,0
95177,,1,1150,27,92a7ceb932412f19462a,0
95188,,1,1250,34,4b60afbbe662a0a48455,0
95280,1,,130,26,23e74d408cb30d79b1f5,0
94764,,,,7,49b7be982327bc38e80c,1
95128,1,,200,24,95214975d1e8a6946670,0
95289,,,,1,d7d865fc36fe5265f25a,1
95301,,,,17,e779cad814663e5ee3a2,1
